ID,Question,OptionA,OptionB,OptionC,OptionD,Answer,Subject,Section,Topic,Difficulty,Date,Shift
287,Two bodies A and B start from the same point at the same instant and move along a straight line. Body A moves with uniform acceleration a and body B moves with uniform velocity v. They meet after time t. The value of t is,2v/a,a/2v,v/2a,sq root(v/a),A,Physics,Mechanics,Motion,Easy,13-May-23,Shift 2
288,"A small steel ball is dropped from a height of  1.5 m into a glycerine jar. The ball reaches the bottom of the jar 1.5 s after it was dropped. If the retardation 2.66 m/s2 , the height of the glycerine in the jar is about (acceleration due to gravity g = 9.8 m/s2  )",7.0 m,7.5 m,5.5 m,3.2 m,C,Physics,Mechanics,Motion,Medium,13-May-23,Shift 2
289,A large number of bullets are fired in all directions with same speed 'U'. The maximum area on the ground on which the bullets will spread is,πu2/g,π u4/g2,π2 2u4/g2,π2 2u2/g,B,Physics,Mechanics,Motion,Medium,13-May-23,Shift 1
290,Which one of the following statements is Wrong?,A body can have zero velocity and still be accelerated.,A body can have a constant velocity and still have a varying speed. ,A body can have a constant speed and still have a varying velocity.,The direction of the velocity of a body can change when its acceleration is constant.,B,Physics,Mechanics,Motion,Easy,13-May-23,Shift 1
291,"A ball is projected vertically upwards from ground. It reaches a height 'h' in time t1, continues its motion and then takes a time t2 to reach ground. The height in terms of g, t1 and t2 is (g =  acceleration due to gravity)",(1/2)(gt1/t2),(1/2)gt1t2,gt1t2,2 gt1t2,B,Physics,Mechanics,Motion,Medium,12-May-23,Shift 2
292,Two cars A and B start from a point at the same time in a straight line and their positions are represented by RA(t) = at + bt2 and RB(t) = xt - t2. At what time do the cars have same velocity?,x-a/2(b+1),x+a/2(b-1),x-a/(b+1),x+a/(b-1),A,Physics,Mechanics,Motion,Medium,11-May-23,Shift 2
293,"Two trains, each 30 m long are travelling in opposite directions with velocities 5 m/s and 10 m/s. They will cross after",4 s,3 s,2 s,1 s,A,Physics,Mechanics,Motion,Easy,10-May-23,Shift 2
294,A body is released from the top of a tower 'H' metre high. It takes t second to reach the ground. The height of the body t/2 second after release is,H/2 metre from ground,H/4 metre from ground,3*H/4 metre from ground,H/6 metre from ground,C,Physics,Mechanics,Motion,Easy,10-May-23,Shift 1
295,A shell is fired at an angle of 30° to the horizontal with velocity  196 m/s. The time of flight is [sin 30° = 1/2 = cos 60°],6.5 s,20 s,16.5 s,10 s,B,Physics,Mechanics,Motion,Easy,11-Aug-22,Shift 2
296,"A student is throwing balls vertically upwards such that he throws the 2nd ball when the 1st ball reaches maximum height. If he throws balls at an interval of 3 second, the maximum height of the balls is (g = 10 m/s2)
 ",45 m,35 m,25 m,30 m,A,Physics,Mechanics,Motion,Easy,23-Sep-21,Shift 1
297,"A driver applies the brakes on seeing the red traffic signal 400 m ahead. At the time of applying the brakes, the vehicle was moving with 15 m/s and retarding at 0.3 m/s^2. The distance covered by the vehicle from the traffic light 1 minute after the application of brakes is",25 m,360 m,40 m,375 m,C,Physics,Mechanics,Motion,Easy,22-Sep-21,Shift 2
298,"A body at rest falls through a height 'h' with velocity 'V'. If it has to fall down further for its velocity to become three times, the distance travelled in that interval is",8 h,6 h,4 h,12 h,A,Physics,Mechanics,Motion,Easy,21-Sep-21,Shift 2
299,A cricket player hit a ball like a projectile but the fielder caught the ball after 2 second. The maximum height reached by a ball is (g = 10 m/s^2),2 m,5 m,4 m,3 m,B,Physics,Mechanics,Motion,Easy,20-Sep-21,Shift 2
300,"A moving body is covering distances which are proportional to square of the time. Then, the acceleration of the body is",zero,increasing,constant but not zero,decreasing,C,Physics,Mechanics,Motion,Easy,16-Oct-20,Shift 1
301,The angle subtended by the vector A = 4i + 3j + 12k with the X-axis is,cos^-1(3/13),sin^-1(3/13),sin^-1(4/13),cos^-1(4/13),D,Physics,Mechanics,Vector Algebra,Easy,19-Oct-20,Shift 2
302,What is the angle between resultant of A + B and A * B.,π rad,0°,π/4(rad),π/2(rad),D,Physics,Mechanics,Vector Algebra,Easy,19-Oct-20,Shift 2
303,"The x, y components of vector P have magnitudes 1 and 3 and x, y components of resultant of P and Q have magnitudes 5 and 6, respectively. What is the magnitude of Q?",5,4,3,2,A,Physics,Mechanics,Vector Algebra,Easy,16-Oct-20,Shift 2
304,"The resultant of two vector A and B is C. If the magnitude of B is doubled, the new resultant vector becomes perpendicular to A. Then, the magnitude of C is",2B,B,3B,4B,B,Physics,Mechanics,Vector Algebra,Easy,16-Oct-20,Shift 2
305,Two vectors of same magnitude have a resultant equal to either of the two vectors. The angle between two vectors is,cos^-1(-0.5),cos^-1(-0.4),cos^-1(-0.3),cos^-1(-0.6),A,Physics,Mechanics,Vector Algebra,Medium,16-Oct-20,Shift 1
306,The vectors (A + B) and (A - B) are at right. angles to each other. This is possible under the condition,|A| = |B|,A . B = 0,A . B = 1,A * B = 0,A,Physics,Mechanics,Vector Algebra,Easy,03-May-19,Shift 1
307,P and Q are two non-zero vectors inclined to each other at an angle '?'. 'p' and 'q' are unit vectors along P and Q respectively. The component of Q in the direction of Q will be,P . Q,P * Q/P,P . Q/Q,p . q,A,Physics,Mechanics,Vector Algebra,Easy,02-May-19,Shift 2
308,The resultant R of P and Q is perpendicular to P. Also|P| = |R|. The angle between P and Q is [tan 45° = 1],5π/4,7π/4,π/4,3π/4,D,Physics,Mechanics,Vector Algebra,Easy,02-May-19,Shift 1
309,"The mass of the lift is 200 kg , when it ascends with an acceleration of  $ m/s^2 then the tension in the cable supporting the lift will be [Given: Acceleration due to gravity  g = 10 m/s^2]",800 N,2800 N,4200 N,2000 N,B,Physics,Mechanics,Laws of Motion,Easy,02-May-24,Shift 2
310,A machine gun fires bullets of mass  30 g with velocity of 1000 m/s. The man holding the gun can exert a maximum force of  300 N on it. How many bullets can he fire per second at most?,3,6,10,9,C,Physics,Mechanics,Laws of Motion,Easy,14-May-23,Shift 2
311,"A spring balance is attached to the ceiling of a lift. A man hangs his bag on the spring and the spring balance reads  49 N, when the lift is stationary. If the lift moves downward with an acceleration of 5 m/s^2 , the reading of the spring balance will be  (g = 9.8 m/s^2)",15 N,24 N,49 N,74 N,B,Physics,Mechanics,Laws of Motion,Medium,13-May-23,Shift 2
312,A door  1.2 m wide requires a force of  1 N to be applied perpendicular at the free end to open or close it. The perpendicular force required at a point  02 m distant from the hinges for opening or closing the door is,3.6 N,2.4 N,1.2 N,6.0 N,D,Physics,Mechanics,Laws of Motion,Medium,11-May-22,Shift 2
313,"The weight of a man in a lift moving upwards with an acceleration 'a' is 620 N. When the lift moves downwards with the same acceleration, his weight is found to be 340 N. The real weight of the man is",620 N,280 N,380 N,480 N,D,Physics,Mechanics,Laws of Motion,Medium,20-Sep-21,Shift 1
314,A body of mass 2 kg is acted upon by two forces each of magnitude 1 N and inclined at  60° with each other. The acceleration of the body in m/s is [cos 60° = 0.5],√(0.75),√(0.65),√(0.20),√(0.35),A,Physics,Mechanics,Laws of Motion,Medium,16-Oct-20,Shift 1
315,A block of mass M is pulled along a smooth horizontal surface with a rope of mass m by force F. The acceleration of the block will be,F/(M-m),F/(M+m),F/m,F/M,B,Physics,Mechanics,Laws of Motion,Easy,03-May-19,Shift 1
316,"An aircraft is moving with uniform velocity  150 m/s in the space. If all the forces acting on it are balanced, then it will",keep moving with same velocity,remain floating at its place,escape in space,fall down on earth,A,Physics,Mechanics,Laws of Motion,Easy,02-May-19,Shift 2
317,Two objects of masses 'm1' and 'm2' are moving in the circles of radii 'r1' and 'r2' respectively. Their respective angular speeds 'w1' and 'w2' are such that they both complete one revolution in the same time 't'. The ratio of linear speed of 'm1' to that of 'm1' is,w1 : w2,T2 : T1,m1 : m2,r2 : r1,D,Physics,Mechanics,Circular Motion,Medium,16-May-24,Shift 2
318,A body performing uniform circular motion of radius 'R' has frequency 'n'. Its centripetal acceleration per unit radius is proportional to (n)^x . The value of is,1,2,-1,-2,B,Physics,Mechanics,Circular Motion,Medium,16-May-24,Shift 2
319,A particle is moving in a circle with uniform speed. It has constant,velocity,acceleration,kinetic energy,displacement,C,Physics,Mechanics,Circular Motion,Easy,15-May-24,Shift 2
320,"A particle of mass 'm' performs uniform circular motion of radius 'r' with linear speed 'v' under the application of force 'F'. If 'm', 'v' and 'r' are all increased by 20% the necessary change in force required to maintain the particle in uniform circular motion, is",12%,44%,14%,144%,B,Physics,Mechanics,Circular Motion,Medium,10-May-24,Shift 2
321,A particle rotates in a horizontal circle of radius 'R' in a conical funnel with constant speed 'V'. The inner surface of the funnel is smooth. The height of the plane of the circle from the vertex of the funnel is (g-acceleration due to gravity),V/g,V/2 g,V^2/2 g,V^2/g,D,Physics,Mechanics,Circular Motion,Medium,10-May-24,Shift 2
322,For a particle in uniform circular motion," linear velocity always radial to the circular path, without change in its magnitude"," linear velocity always tangential to the circular path, without change in its magnitude",linear acceleration always tangential to the circular path,linear acceleration always along the axis of the circular path,B,Physics,Mechanics,Circular Motion,Easy,10-May-24,Shift 1
323,A disc at rest is subjected to a uniform angular acceleration about its axis. Let and be the angle made by the disc in 2nd and 3rd second of its motion. The ratio is,02:03,01:02,02:03,04:05,D,Physics,Mechanics,Circular Motion,Medium,09-May-24,Shift 2
324,"A body moves along a circular path of radius 15 cm . It starts from a point on the circular path and reaches the end of diameter in 3 second, The angular speed of the body in rad/s is",3.14/2,3.14/3,3.14/4,3.14/5,B,Physics,Mechanics,Circular Motion,Medium,04-May-24,Shift 2
325,A wheel of radius 1 m rolls through 180° over a plane surface. The magnitude of the displacement of the point of the wheel initially in contact with the surface is.,2*3.14,3.14,√((3.14*3.14)+4),3*3.14,C,Physics,Mechanics,Circular Motion,Hard,03-May-24,Shift 2
326,"The string of pendulum of length 'L' is displaced through 90° from the vertical and released. Then the maximum strength of the string in order to withstand the tension, as the pendulum passes through the mean position is ( m = mass of pendulum, g = acceleration due to gravity)",mg,3 mg,5 mg,6 mg,B,Physics,Mechanics,Circular Motion,Medium,02-May-24,Shift 2
327,"A particle at rest starts moving with a constant angular acceleration of 4 rad/s^2 in a circular path. The time at which magnitudes of its centripetal acceleration and tangential acceleration will be equal, is (in second)", 1/4, 1/3, 1/2, 2/3,C,Physics,Mechanics,Circular Motion,Hard,02-May-24,Shift 1
328,A particle is moving in a circle with uniform speed 'v'. In moving from a point to another diametrically opposite point,the momentum changes by mv,the momentum changes by 2 mv,the kinetic energy changes by 1/2 mv^2,the kinetic energy changes by mv^2,B,Physics,Mechanics,Circular Motion,Hard,12-May-23,Shift 2
329,A body of mass 'm' attached at the end of a string is just completing the loop in a vertical circle. The apparent weight of the body at the lowest point in its path is ( g = gravitational acceleration),zero,mg,3 mg,6 mg,D,Physics,Mechanics,Circular Motion,Medium,12-May-23,Shift 2
330,Two particles having mass 'M' and 'm' are moving in a circular path with radius 'R' and 'r' respectively. The time period for both the particles is same. The ratio of angular velocity of the first particle to the second particle will be, 1: 1, 1 : 2, 2 : 3, 3 : 4,A,Physics,Mechanics,Circular Motion,Hard,12-May-23,Shift 1
331,A particle at rest starts moving with constant angular acceleration 4 rad/s^2 in circular path. At what time the magnitudes of its tangential acceleration and centrifugal acceleration will be equal?,0.4 s,0.5 s,0.8 s,1.0 s,B,Physics,Mechanics,Circular Motion,Medium,09-May-23,Shift 2
332,A body moving in a circular path with a constant speed has constant,momentum,velocity,acceleration,kinetic energy,D,Physics,Mechanics,Circular Motion,Easy,11-Aug-22,Shift 2
333,Two bodies of masses 'm' and '3 m' are rotating in horizontal speed of the body of mass 'm' is n times that of the value of heavier body; while the centripetal force is same for both. The value of n is,3,1,9,6,A,Physics,Mechanics,Circular Motion,Easy,11-Aug-22,Shift 2
334,"A particle is moving along the circular path with constant speed and centripetal acceleration 'a'. If the speed is doubled, the ratio of its acceleration after and before the change is", 3 : 1, 1 : 4, 2 : 1, 4 : 1,D,Physics,Mechanics,Circular Motion,Hard,24-Sep-21,Shift 2
335,"A body of mass 'm' is moving with speed 'V' along a circular path of radius 'r'. Now the speed is reduced to V/2 and radius is increased to '3r'. For this change, initial centripetal force needs to be",increased by 7/12 times,increased by 10/12 times,decreased by 11/12 times,decreased by 1/12 times,C,Physics,Mechanics,Circular Motion,Hard,24-Sep-21,Shift 2
336,"A body attached to one end of a string performs motion along a vertical circle. Its centripetal acceleration, when the string is horizontal, will be [g = acceleration due to gravity]",zero,5g,3g,g,C,Physics,Mechanics,Circular Motion,Medium,24-Sep-21,Shift 1
337,"If w1 is angular velocity of hour hand of clock and w2 is angular velocity of the earth, then the ratio w1 : w2 is", 1 : 2, 2 : 3, 3 : 2, 2 : 1,D,Physics,Mechanics,Circular Motion,Hard,22-Sep-21,Shift 1
338,A particle at rest starts moving with a constant angular acceleration of 4 rad/s^2 in a circular path. At what time the magnitude of its centripetal acceleration and tangential acceleration will be equal?,1/4 S,2/3 S,1/2 S,1/3 S,C,Physics,Mechanics,Circular Motion,Medium,20-Sep-21,Shift 2
339,"A body is moving along a circular track of radius 100 m with velocity 20 m/s. Its tangential acceleration is 3 m/s^2, then its resultant acceleration will be",5 m/s^2,4 m/s^2,2 m/s^2,3 m/s^2,A,Physics,Mechanics,Circular Motion,Hard,19-Oct-20,Shift 2
340,A stone of mass 1 kg is tied to a string 2 m long and it's rotated at constant speed of 40 ms^-1 in a vertical circle. The ratio of the tension at the top and the bottom is [Take  g = 10 m/s^-2],81/79,79/81, 19/12, 12/19,B,Physics,Mechanics,Circular Motion,Hard,02-May-19,Shift 1
341,"A simple pendulum of length L has mass m and it oscillates freely with amplitude A. At extreme position, its potential energy is ( g = acceleration due to gravity)",mgA/2 L,mgA^2/L,mgA/L,mgA^2/2L,D,Physics,Mechanics,"Work, energy and power",Medium,16-May-24,Shift 1
342,"A body of mass 1 kg starts from rest and moves with uniform acceleration. In 2 seconds, its velocity is 10 m/s. The power exerted on the body in one second is",20 W,25 W,50 W,100 W,B,Physics,Mechanics,"Work, energy and power",Medium,15-May-24,Shift 1
343,"For a particle moving in vertical circle, the total energy at different positions along the path [The motion is under gravity]",may increase or decrease,decrease,is conserved,increases,C,Physics,Mechanics,"Work, energy and power",Easy,11-May-24,Shift 1
344,If the momentum of a body of mass 'm' is increased by 20% then its kinetic energy increases by,44%,55%,66%,77%,A,Physics,Mechanics,"Work, energy and power",Medium,10-May-24,Shift 1
345,"The potential energy of a long spring when it is stretched by 3 cm is 'U'. If the spring is stretched by 9 cm , potential energy stored in it will be",3U,4U,5U,9U,D,Physics,Mechanics,"Work, energy and power",Medium,09-May-24,Shift 1
346,If a lighter body of mass 'M1' and velocity 'V1' and a heavy body (mass M2 and velocity V2) have the same kinetic energy then,M2V2 < M1V1,M2V2 = M1V1,M2V1 < M1V2,M2V2 > M1V1,D,Physics,Mechanics,"Work, energy and power",Medium,10-May-23,Shift 1
347,The kinetic energy of a light body and a heavy body is same. Which one of them has greater momentum?,A body having high velocity,Heavy body,Light body ,A body having large displacement,B,Physics,Mechanics,"Work, energy and power",Easy,24-Sep-21,Shift 2
348,"Three bodies P, Q and R have masses 'm' kg, '2m' kg and '3m' kg respectively. If all the bodies have equal kinetic energy, then greater momentum will be for body/bodies.",Q,R,P and Q,P ,B,Physics,Mechanics,"Work, energy and power",Medium,21-Sep-21,Shift 2
349,"A sphere of mass 25 gram is placed on a vertical spring. It is compressed by 0.2 m using a force 5 N. When the spring is released, the sphere will reach a height of (g = 10 m/s^2) 2 m",6 cm,8 cm,10 cm,2 cm,D,Physics,Mechanics,"Work, energy and power",Easy,21-Sep-21,Shift 1
350,"If the radius of the circular path and frequency of revolution of a particle of mass m are doubled, then the change in its kinetic energy will be Ei and E1 are the initial and final kinetic energies of the particle respectively,)",12 Ef,13 Ei,8 Ef,15 Ei,D,Physics,Mechanics,"Work, energy and power",Medium,03-May-19,Shift 1
351,A boy weighs 72 N on the surface of earth. The gravitational force on a body due to earth at a height equal to half the radius of earth will be,32 N,48 N,96 N,162 N,A,Physics,Mechanics,Gravitation,Medium,16-May-24,Shift 2
352,The minimum energy required to launch a satellite of mass m from the surface of a planet of mass M and radius R in a circular orbit at an altitude of 2R is,5GMm/6R,2Gmm/3R,GMm/2R,GMm/3R,A,Physics,Mechanics,Gravitation,Medium,15-May-24,Shift 2
353,"The density of a new planet is twice that of earth. The acceleration due to gravity at the surface of the planet is equal to that at the surface of earth. If R is the radius of earth, then radius of the planet would be",4 R,R / 2,R/4,2R,B,Physics,Mechanics,Gravitation,Easy,15-May-24,Shift 2
354,"The weights of an object are measured in a coal mine of depth 'h1', then at sea level of height 'h2' and lastly at the top of a mountain of height 'h3' as W1, W2 and W3 respectively. Which one of the following relation is correct? [h h1 << R, h3 >> h2 = R, R = radius of the earth ]",W1 = W2 = W3,W1 < W2 < W3,W1 > W2 < W3,W1 < W2 > W3,D,Physics,Mechanics,Gravitation,Easy,15-May-24,Shift 1
355,A satellite of mass 'm' is revolving around the earth of mass 'M' in an orbit of radius 'r' with constant angular velocity 'w'. The angular momentum of satellite is ( G = Universal constant of gravitation),m(GMr)^3/2,m(GMr),m(GMr)^1/2,m(GMr)^-1/2,C,Physics,Mechanics,Gravitation,Medium,15-May-24,Shift 1
356,For a satellite moving in an orbit around the earth at height 'h' the ratio of kinetic energy to potential energy is, 2 : 1, 1 : 2, 1 : √2,√2 : 1,B,Physics,Mechanics,Gravitation,Medium,11-May-24,Shift 2
357,"The acceleration due to gravity at the surface of the planet is same as that at the surface of the earth, but the density of planet is thrice that of the earth. If 'R' is the radius of the earth, the radius of the planet will be",R/9,R/3,3R,9R,B,Physics,Mechanics,Gravitation,Medium,11-May-24,Shift 1
358,The depth 'd' at which the value of acceleration due to gravity becomes 1/(n-1) times the value at the earth's surface is (R = radius of the earth),R((n/(n-1)),R((n-2/(n-1)),R(2n-1/n),R((n-1/(2n-1)),B,Physics,Mechanics,Gravitation,Easy,11-May-24,Shift 1
359,"Assuming that the earth is revolving around the sun in circular orbit of radius R , the angular momentum is directly proportional to R^n. The value of 'n' is",2,1.5,1,0.5,D,Physics,Mechanics,Gravitation,Hard,11-May-24,Shift 1
360,The height ' h ' from the surface of the earth at which the value of 'g' will be reduced by 64% than the value at surface of the earth is ( R = radius of the earth),1/3 R,2/3 R,3/2 R,2R,B,Physics,Mechanics,Gravitation,Medium,10-May-24,Shift 2
361,The radius and mean density of the planet are four times as that of the earth. The ratio of escape velocity at the earth to the escape velocity at a planet is,1 : √8, 1 : 8,1 : √3, 1 : 3,B,Physics,Mechanics,Gravitation,Hard,10-May-24,Shift 1
362,"A small planet is revolving around a very massive star in a circular orbit of radius ' R' with a period of revolution 'T'. If the gravitational force between the planet and the star were proportional to 'R^-5/2', then 'T' would be proportional to",R^3/2,R^3/5,R^7/2,R^7/4,D,Physics,Mechanics,Gravitation,Hard,10-May-24,Shift 1
363,"The radius of the planet is double that of the earth, but their average densities are same.Vp and Ve are the escape velocities of planet and earth respectively. If Vp/Ve = x, the value of 'x' is", 1/4, 1/2,2,4,C,Physics,Mechanics,Gravitation,Medium,09-May-24,Shift 2
364,Two satellites A and B having ratio of masses 3 : 1 are revolving in circular orbits of radii 'r' and ' 4 r '. The ratio of total energy of satellites A to that of B is, 1 : 3, 3 : 1, 3 : 4, 12 : 1,D,Physics,Mechanics,Gravitation,Easy,09-May-24,Shift 1
365,The period of a planet around the sun is 8 times that of earth. The ratio of radius of planet's orbit to the radius of the earth's orbit is,4,8,16,64,A,Physics,Mechanics,Gravitation,Hard,09-May-24,Shift 1
366,The escape velocity from earth surface is  11 km/s. The escape velocity from a planet having twice the radius and same mean density as earth is,22 km/s,11 km/s,5.5 km/s,15.5 km/s,A,Physics,Mechanics,Gravitation,Medium,04-May-24,Shift 2
367,The height at which the weight of the body becomes 1th / 16 of its weight on the surface of the earth of radius 'R' is,2 R,3 R,4 R,5 R,B,Physics,Mechanics,Gravitation,Hard,03-May-24,Shift 2
368,"Two identical metal spheres are kept in contact with each other, each having radius 'R' cm and 'p' is the density of material of metal spheres. The gravitational force 'F' of attraction between them is proportional to",R^3 p,R^4p^2,R^4 p,R^3 p^2,B,Physics,Mechanics,Gravitation,Medium,03-May-24,Shift 2
369,The distance of the two planets A and B from the sun are rA and rB respectively. Also rB is equal to 100rA. If the orbital speed of the planet A is 'v' then the orbital speed of the planet B is,v/10,v/2,√2v,10 v,A,Physics,Mechanics,Gravitation,Hard,03-May-24,Shift 1
370,The gravitational potential energy required to raise a satellite of mass 'm' to height 'h' above the earth's surface is 'E1'. Let the energy required to put this satellite into the orbit at the same height be 'E2'. If M and R are the mass and radius of the earth respectively then E1 : E2 is,h : R,h : 2R,R : h,2h : R,D,Physics,Mechanics,Gravitation,Hard,02-May-24,Shift 2
371,"If two planets have their radii in the ratio x : y and densities in the ratio m : n, then the acceleration due to gravity on them are in the ratio",ny/mx,my/nx,nx/my,mx/ny,D,Physics,Mechanics,Gravitation,Hard,13-May-23,Shift 2
372,"A mine is located at depth R/3 below earth's surface. The acceleration due to gravity at that depth in mine is (R = radius of earth, g = acceleration due to gravity)",g,3g,2g/3,g/3,C,Physics,Mechanics,Gravitation,Medium,13-May-23,Shift 2
373,"A body of mass 'm' is raised through a height above the earth's surface so that the increase in potential energy is mgR/5. The height to which the body is raised is (R = radius of earth, g = acceleration due to gravity)",R,R/2,R/4,R/8,C,Physics,Mechanics,Gravitation,Easy,13-May-23,Shift 1
374,"If two identical spherical bodies of same material and dimensions are kept in contact, the gravitational force between them is proportional to R^x, where x is non zero integer [Given : R is radius of each spherical body]",-4,4,2,-2,B,Physics,Mechanics,Gravitation,Medium,13-May-23,Shift 1
375,Time period of simple pendulum on earth's surface is 'T'. Its time period becomes 'xT' when taken to a height R (equal to earth's radius) above the earth's surface. Then the value of 'x' will be,4,2, 1/2, 1/4,B,Physics,Mechanics,Gravitation,Medium,12-May-23,Shift 1
376,The height at which the weight of the body becomes (1/9)th its weight on the surface of earth is (R = radius of earth),8R,4R,3R,2R,D,Physics,Mechanics,Gravitation,Easy,12-May-23,Shift 1
377,The ratio of energy required to raise a satellite to a height 'h' above the earth's surface to that required to put it into the orbit at the same height is (R = radius of earth),2 h/R,h/R,R/h,R/2 h,A,Physics,Mechanics,Gravitation,Hard,11-May-23,Shift 2
378,"The radius of earth is  6400 km and acceleration due to gravity  g = 10 ms^-2. For the weight of body of mass 5 kg to be zero on equator, rotational velocity of the earth must be (in rad/s)", 1/80, 1/400, 1/800, 1/1600,C,Physics,Mechanics,Gravitation,Medium,11-May-23,Shift 1
379,A body is projected vertically from earth's surface with velocity equal to half the escape velocity. The maximum height reached by the satellite is ( R = radius of earth),R,R/2,R/3,R/4,C,Physics,Mechanics,Gravitation,Medium,10-May-23,Shift 2
380,"A satellite moves in a stable circular orbit round the earth if (where Vh, Vc and Ve are the horizontal velocity, critical velocity and escape velocity respectively)",Vh < Vc,Vh = Ve,Vh = Vc,Vh > Ve,C,Physics,Mechanics,Gravitation,Hard,10-May-23,Shift 1
381,Consider a planet whose density is same as that of the earth but whose radius is three times the radius 'R' of the earth. The acceleration due to gravity 'gn' on the surface of planet is gn = x. g where g is acceleration due to gravity on surface of earth. The value of 'x' is,9,3, 1/3, 1/9,B,Physics,Mechanics,Gravitation,Medium,09-May-23,Shift 2
382,A body weighs  300 N on the surface of the earth. How much will it weigh at a distance R/2 below the surface of earth? ( R = Radius of earth),300 N,250 N,200 N,150 N,D,Physics,Mechanics,Gravitation,Easy,09-May-23,Shift 1
383,A seconds pendulum is placed in a space laboratory orbiting round the earth at a height '3R' from the earth's surface. The time period of the pendulum will be ( R = radius of earth),zero,2/3 s,4 s,infinite,D,Physics,Mechanics,Gravitation,Easy,09-May-23,Shift 1
384,"A body weighs 500 N on the surface of the earth. At what distance below the surface of the earth it weighs 250 N? (Radius of earth, R = 6400 km)",6400 km,800 km,1600 km,3200 km,D,Physics,Mechanics,Gravitation,Medium,11-Aug-22,Shift 2
385,The average density of the earth is [g is acceleration due to gravity],inversely proportional to g^2,directly proportional to g.,inversely proportional to g.,directly proportional to g^2.,B,Physics,Mechanics,Gravitation,Hard,24-Sep-21,Shift 2
386,"The depth from the surface of the earth of radius R, at which acceleration due to gravity will be 60% of the value on the earth surface is",2R/3,2R/5,3R/5,5R/3,B,Physics,Mechanics,Gravitation,Hard,24-Sep-21,Shift 2
387,"The length of the seconds pendulum is lm on earth. If the mass and diameter of the planet is 1.5 times that of the earth, the length of the seconds pendulum on the planet will be nearly",0.67 m,0.45 m,0.60 m,0.76 m,A,Physics,Mechanics,Gravitation,Medium,24-Sep-21,Shift 2
388,"If the horizontal velocity given to a satellite is greater than critical velocity but less than the escape velocity at the height, then the satellite will",be lost in space,falls on the earth along parabolic path,revolve in circular orbit,revolve in elliptical orbit,D,Physics,Mechanics,Gravitation,Easy,24-Sep-21,Shift 1
389,The period of revolution of planet A around the sun is 8 times that of planet B. How many times the distance of A from the sun is greater than that of B from the sun?,5 times,2 times,3 times,6 times,C,Physics,Mechanics,Gravitation,Medium,24-Sep-21,Shift 1
390,"The time period of a satellite of earth is 5 hours. If the separation between the earth and the satellite will satellite is increased to four times the previous value, the new time period of the satellite will be
",20 hours,40 hours,80 hours,10 hours,B,Physics,Mechanics,Gravitation,Easy,23-Sep-21,Shift 2
391,"A body of mass 'M' and radius 'R', situated on the surface of the earth becomes weightless at its equator when the rotational kinetic energy of the earth reaches a critical value 'K'. The value of 'K' is given by [Assume the earth as a solid sphere, g = gravitational acceleration on the earth's surfacde]

 
A body of mass 'M' and radius 'R', situated on the surface of the earth becomes weightless at its equator when the rotational kinetic energy of the earth reaches a critical value 'K'. The value of 'K' is given by [Assume the earth as a solid sphere, g = gravitational acceleration on the earth's surfacde]

 
 
 
 A body of mass 'M' and radius 'R', situated on the surface of the earth becomes weightless at its equator when the rotational kinetic energy of the earth reaches a critical value 'K'. The value of 'K' is given by [Assume the earth as a solid sphere, g = gravitational acceleration on the earth's surfacde]",1/2MgR,1/3MgR,1/4MgR,1/5MgR,D,Physics,Mechanics,Gravitation,Hard,23-Sep-21,Shift 2
392,"The mass of a spherical planet is 4 times the mass of the earth, but its radius (R) is same as that of the earth. How much work is done is lifting a body of mass 5 kg through a distance of 2 m on the planet ? (g = 10 ms^-2)",400 J,200 J,800 j,300 J,A,Physics,Mechanics,Gravitation,Hard,23-Sep-21,Shift 1
393,"The radius of a planet is twice the radius of the earth. Both have almost equal average mass densities. If 'Vp' and 'Ve' are escape velocities of the planet and the earth respectively, then",Ve = 1.5 Vp,Vp = 1.5 Ve,Vp = 2Ve,Ve = 3Vp,C,Physics,Mechanics,Gravitation,Medium,23-Sep-21,shift 1
394,Two satellites of same mass are launched in circular orbits at heights 'R' and '2R' above the surface of the earth. The ratio of their kinetic energies is (R = radius of the earth), 1 : 3, 3 : 2, 4 : 9, 9 : 4,B,Physics,Mechanics,Gravitation,Medium,22-Sep-21,Shift 2
395,"At a height 'R' above the earth's surface the gravitational acceleration is (R = radius of earth, g = acceleration due to gravity on earth's surface)",g,g/8,g/4,g/2,C,Physics,Mechanics,Gravitation,Medium,22-Sep-21,Shift 2
396,"For a body of mass 'm', the acceleration due to gravity at a distance 'R' from the surface of the earth is (g/4). Its value at a distance (R/2) from the surface of the earth is (R = radius of the earth, g = acceleration due to gravity)",(g/8),(9g/4),(4g/9),(g/2),C,Physics,Mechanics,Gravitation,Easy,21-Sep-21,Shift 2
397,The ratio of energy required to raise a satellite of mass 'm' to height 'h' above the earth's surface to that required to put it into the orbit at same height is [R = radius of earth],h/R,2h/R^2,3h/R^2,2h/R,D,Physics,Mechanics,Gravitation,Medium,21-Sep-21,Shift 2
398,A pendulum is oscillating with frequency 'n' on the surface of the earth. It is taken to a depth R/2 below the surface of earth. New frequency of oscillation at depth R/2 is [R = is the radius of earth],n/3,2/√2,2n,n/2,B,Physics,Mechanics,Gravitation,Easy,21-Sep-21,Shift 1
